customer_id,signup_date,age,income,balance,tenure_months,transactions_30d,avg_order_value,days_since_last_login,credit_score,city,region,channel,device,device_model,plan_type,merchant_category,signup_source,postal_code,merchant_id,product_sku,notes,fraud_flag,risk_review_score,account_frozen,income_usd,monthly_spend,credit_score_bucket_num,branch_code,error_code,noise_0,noise_1,noise_2,noise_3,noise_4,row_hash
CUST-001122,2022-02-11,33.0,58262.542313992286,,38.0,16.0,43.943404183566926,2.5380516804009687,748.1570822777844,,None,web,windows,M207-C30,basic,electronics,ad,72519,MCH-911088,SKU-286391,coupon applied,0,0.10276252569240314,0,1.0502780075154328,768.7499979627596,700.0,276,0,-0.863785437121886,1.4012152402920246,0.6041991855331802,0.5699250104939881,-0.39657424466972985,4845556483
CUST-000319,2024-10-23,37.0,29852.143451249118,,28.0,17.0,69.1905742212354,9.01568749267191,540.6989615994466,Arak,south,None,ios,M562-C50,basic,grocery,ad,22515,MCH-800108,SKU-799647,ok,0,0.3115097862941476,0,0.9537719051710654,1126.8059204926665,500.0,295,0,2.33493101606282,0.7629165589878508,0.4383336461068697,1.7250412466009437,-0.05156171299423945,2109520800
CUST-009134,2022-09-14,41.0,49564.51516237678,-4516.216176082755,25.0,14.0,125.07275174180681,,,Ahvaz,east,None,linux,M771-X76,gold,gaming,organic,11150,MCH-951902,SKU-501331,verified,0,0.3645197363681645,0,1.2452833689216372,1816.8166383019955,,246,101,-1.374020088634886,0.6951240220301443,1.392603530098073,-0.7795880320120662,-0.6707075195419067,7465255716
CUST-001150,2021-06-01,27.0,53296.67729867419,29335.525646051185,29.0,18.0,89.62011441269036,,526.6476948590141,Tehran,north,web,android,M770-A58,gold,education,organic,39534,MCH-216272,SKU-304566,late payment,0,0.4021748365983182,0,1.5412846442612609,1630.1985356194377,500.0,172,0,0.28091949781649705,0.61141344107887,0.864557407271972,-2.848211310150824,-0.290224869154136,5188168725
CUST-000034,2025-08-25,43.0,57359.47793869713,,34.0,21.0,157.8156582188628,27.741304650570527,615.7475444805173,Qom,east,mobile,ios,M449-A14,platinum,None,organic,11997,MCH-195832,SKU-730542,ok,0,0.0047663417721061085,0,1.924088648103178,3207.417851201888,600.0,280,0,-0.8288271993292746,-1.7123751769292557,-0.5353321211189981,-1.3150983531921985,-1.2769857092298418,5941864308
CUST-000971,2023-08-29,24.0,54725.20618401483,3508.4074000457185,21.0,19.0,136.73763001031443,17.843873464368954,,Karaj,east,web,ios,M649-X58,basic,grocery,event,68782,MCH-633104,SKU-764137,manual review,0,0.1332611088713265,0,1.7954060573709398,2476.076535475678,,130,0,-0.18804439108246188,-0.5061077589439581,-0.011991612401305345,0.7884109465333747,-0.4085301596013355,8109474383
CUST-009579,2021-06-26,28.0,75956.12787824414,32630.977189670277,33.0,15.0,49.752956407502104,14.399201698218508,712.4551435676296,Tabriz,east,branch,ios,M993-Z87,silver,fashion,referral,98778,MCH-297442,SKU-562674,ok,0,0.12885366127790376,0,2.193048135524258,731.4683233619045,700.0,147,0,-1.7360074303112687,-1.0034867783207786,1.5971596215776802,-0.05943309156969103,-0.7139814227684236,2012267465
CUST-004851,2023-07-08,36.0,34925.59332626566,11023.16409360246,25.0,17.0,17.51256348746419,7.774464862191017,508.38219335782264,Yazd,,web,linux,M839-B72,basic,health,referral,30518,MCH-624966,SKU-694403,ok,0,0.2715317123034653,0,0.8255760245501306,295.70712935802834,500.0,211,0,0.6173353306042341,-1.1309255918886696,0.36570562290556485,1.0754384350375708,0.9410039957131046,6495076978
CUST-006659,2025-07-04,,15000.0,4022.5517228425533,25.0,22.0,73.37428854343777,3.2370940704119078,607.777079307902,Isfahan,west,call_center,None,M619-X93,silver,education,ad,33758,MCH-524939,SKU-452401,verified,0,0.1701206089479974,1,1.138406587877302,1529.277924090114,600.0,161,0,0.6669538831324188,0.4515033197109089,-0.17003334834821746,0.17766812161397794,1.0856355295561804,5405504637
CUST-003458,2025-08-06,,59591.75761549463,-5000.0,27.0,29.0,51.003963743064254,17.441568164713033,701.0244356696982,Shiraz,north,mobile,android,M447-B68,silver,fashion,organic,,MCH-928275,SKU-131035,new device,0,0.308456610710671,0,1.4628487324195167,1544.911160451841,700.0,216,0,-0.6922615009561598,0.17253372621746607,-0.2851422984003411,-0.9140743941444425,0.1120859893617521,4624626946
